0,com1,com2,com3,com4
Education,0.037866036465515784,-0.05081426230691052,0.10760123039378008,-0.04534530980174804
Income,-0.4060338030570008,0.09775483779331118,-0.16176317342711405,-0.09415964238295856
Kidhome,0.34213036313233924,0.03911401916689068,0.03757216358873361,-0.026887497205387877
Teenhome,0.07241550522152808,0.5020708772614213,-0.3165679630883546,-0.20300064219571362
Recency,0.0009168339630336574,0.024348923199911783,-0.2380616434574089,0.7589063898648184
NumDealsPurchases,0.09101813226484927,0.5365335271417235,0.122516490894081,-0.010598581234429503
NumWebPurchases,-0.2573894473533863,0.37713199406792935,0.11856064760460366,0.019399268715946758
NumCatalogPurchases,-0.3879900316300277,0.05184327671685883,0.021917900848847045,0.031011697323073205
NumStorePurchases,-0.3542071968536296,0.20212353758393647,-0.09487224684203911,0.028886696522710007
NumWebVisitsMonth,0.31035826014230156,0.21275732110607118,0.3579633714931478,0.12095751956711277
Complain,0.018050664797354166,0.018175024409827118,0.035985756639141366,0.232907677483624
Response,-0.11677215517663013,-0.013683521732257557,0.5418400450988584,-0.28107187673510126
Days,0.02964732419533554,-0.23709555533537824,-0.5073038146577061,-0.3909129107317585
Marital,0.02007430963845287,0.0031509005684590987,-0.11141322562034267,0.2250204045555273
Spent,-0.4198545782593216,0.08174491884417914,0.060607743162892816,0.04489837838624276
Family_Size,0.2702377300727201,0.38901906553052396,-0.2625634334771093,-0.12482296008825843
